ImgPath,label
Test Data/Dataset82/40/604.jpg,40
Test Data/Dataset82/40/413.jpg,40
Test Data/Dataset82/40/177.jpg,40
Test Data/Dataset82/40/161.jpg,40
Test Data/Dataset82/40/411.jpg,40
Test Data/Dataset82/40/49.jpg,40
Test Data/Dataset82/40/429.jpg,40
Test Data/Dataset82/40/165.jpg,40
Test Data/Dataset82/40/70.jpg,40
Test Data/Dataset82/40/66.jpg,40
Test Data/Dataset82/40/211.jpg,40
Test Data/Dataset82/40/199.jpg,40
Test Data/Dataset82/40/14.jpg,40
Test Data/Dataset82/40/465.jpg,40
Test Data/Dataset82/40/317.jpg,40
Test Data/Dataset82/40/114.jpg,40
Test Data/Dataset82/40/506.jpg,40
Test Data/Dataset82/40/512.jpg,40
Test Data/Dataset82/40/107.jpg,40
Test Data/Dataset82/40/462.jpg,40
Test Data/Dataset82/40/111.jpg,40
Test Data/Dataset82/40/20.jpg,40
Test Data/Dataset82/40/123.jpg,40
Test Data/Dataset82/40/321.jpg,40
Test Data/Dataset82/40/447.jpg,40
Test Data/Dataset82/40/268.jpg,40
Test Data/Dataset82/40/485.jpg,40
Test Data/Dataset82/40/442.jpg,40
Test Data/Dataset82/40/245.jpg,40
Test Data/Dataset82/40/331.jpg,40
Test Data/Dataset82/40/125.jpg,40
Test Data/Dataset82/40/284.jpg,40
Test Data/Dataset82/40/31.jpg,40
Test Data/Dataset82/40/19.jpg,40
Test Data/Dataset82/40/194.jpg,40
Test Data/Dataset82/40/157.jpg,40
Test Data/Dataset82/40/396.jpg,40
Test Data/Dataset82/40/369.jpg,40
Test Data/Dataset82/40/355.jpg,40
Test Data/Dataset82/40/235.jpg,40
Test Data/Dataset82/40/43.jpg,40
Test Data/Dataset82/40/418.jpg,40
Test Data/Dataset82/40/578.jpg,40
Test Data/Dataset82/40/223.jpg,40
Test Data/Dataset82/40/394.jpg,40
Test Data/Dataset82/40/141.jpg,40
Test Data/Dataset82/40/97.jpg,40
Test Data/Dataset82/40/186.jpg,40
Test Data/Dataset82/40/44.jpg,40
Test Data/Dataset82/40/145.jpg,40
Test Data/Dataset82/40/384.jpg,40
Test Data/Dataset82/40/569.jpg,40
Test Data/Dataset82/40/434.jpg,40
Test Data/Dataset82/40/385.jpg,40
Test Data/Dataset82/40/79.jpg,40
Test Data/Dataset82/40/84.jpg,40
Test Data/Dataset82/40/378.jpg,40
Test Data/Dataset82/40/231.jpg,40
Test Data/Dataset82/40/437.jpg,40
Test Data/Dataset82/40/91.jpg,40
Test Data/Dataset82/40/153.jpg,40
Test Data/Dataset82/40/52.jpg,40
Test Data/Dataset82/40/46.jpg,40
Test Data/Dataset82/41/88.jpg,41
Test Data/Dataset82/41/165.jpg,41
Test Data/Dataset82/41/371.jpg,68
Test Data/Dataset82/41/16.jpg,41
Test Data/Dataset82/41/493.jpg,41
Test Data/Dataset82/41/20.jpg,41
Test Data/Dataset82/41/483.jpg,41
Test Data/Dataset82/41/80.jpg,41
Test Data/Dataset82/41/44.jpg,41
Test Data/Dataset82/41/47.jpg,41
Test Data/Dataset82/42/217.jpg,42
Test Data/Dataset82/42/202.jpg,42
Test Data/Dataset82/42/61.jpg,42
Test Data/Dataset82/42/59.jpg,42
Test Data/Dataset82/42/372.jpg,42
Test Data/Dataset82/42/366.jpg,42
Test Data/Dataset82/42/239.jpg,42
Test Data/Dataset82/42/288.jpg,42
Test Data/Dataset82/42/114.jpg,42
Test Data/Dataset82/42/506.jpg,42
Test Data/Dataset82/42/107.jpg,42
Test Data/Dataset82/42/264.jpg,42
Test Data/Dataset82/42/502.jpg,42
Test Data/Dataset82/42/338.jpg,42
Test Data/Dataset82/42/106.jpg,42
Test Data/Dataset82/42/500.jpg,42
Test Data/Dataset82/42/273.jpg,42
Test Data/Dataset82/42/10.jpg,42
Test Data/Dataset82/42/531.jpg,42
Test Data/Dataset82/42/523.jpg,42
Test Data/Dataset82/42/319.jpg,42
Test Data/Dataset82/42/253.jpg,42
Test Data/Dataset82/42/4.jpg,42
Test Data/Dataset82/42/157.jpg,42
Test Data/Dataset82/42/368.jpg,42
Test Data/Dataset82/42/7.jpg,42
Test Data/Dataset82/42/168.jpg,42
Test Data/Dataset82/42/236.jpg,42
Test Data/Dataset82/42/6.jpg,42
Test Data/Dataset82/42/78.jpg,42
Test Data/Dataset82/42/50.jpg,42
Test Data/Dataset82/42/44.jpg,42
Test Data/Dataset82/42/1.jpg,42
Test Data/Dataset82/42/351.jpg,42
Test Data/Dataset82/42/52.jpg,42
Test Data/Dataset82/43/214.jpg,43
Test Data/Dataset82/43/407.jpg,43
Test Data/Dataset82/43/48.jpg,43
Test Data/Dataset82/43/171.jpg,43
Test Data/Dataset82/43/9.jpg,43
Test Data/Dataset82/43/16.jpg,43
Test Data/Dataset82/43/36.jpg,43
Test Data/Dataset82/43/133.jpg,43
Test Data/Dataset82/43/31.jpg,43
Test Data/Dataset82/43/369.jpg,43
Test Data/Dataset82/43/227.jpg,43
Test Data/Dataset82/43/53.jpg,43
Test Data/Dataset82/44/228.jpg,44
Test Data/Dataset82/44/202.jpg,44
Test Data/Dataset82/44/64.jpg,44
Test Data/Dataset82/44/28.jpg,44
Test Data/Dataset82/44/299.jpg,44
Test Data/Dataset82/44/105.jpg,44
Test Data/Dataset82/44/132.jpg,44
Test Data/Dataset82/44/126.jpg,44
Test Data/Dataset82/44/30.jpg,44
Test Data/Dataset82/44/252.jpg,44
Test Data/Dataset82/44/56.jpg,44
Test Data/Dataset82/44/143.jpg,44
Test Data/Dataset82/44/356.jpg,44
Test Data/Dataset82/44/178.jpg,44
Test Data/Dataset82/44/3.jpg,44
Test Data/Dataset82/35/2_329.jpg,35
Test Data/Dataset82/35/2_8.jpg,35
Test Data/Dataset82/35/1_67.jpg,35
Test Data/Dataset82/35/2_100.jpg,35
Test Data/Dataset82/35/2_129.jpg,35
Test Data/Dataset82/35/2_37.jpg,35
Test Data/Dataset82/35/2_175.jpg,35
Test Data/Dataset82/35/2_94.jpg,35
Test Data/Dataset82/35/2_166.jpg,35
Test Data/Dataset82/35/2_92.jpg,35
Test Data/Dataset82/35/2_90.jpg,35
Test Data/Dataset82/35/2_159.jpg,35
Test Data/Dataset82/35/2_91.jpg,35
Test Data/Dataset82/35/1_26.jpg,35
Test Data/Dataset82/35/2_418.jpg,35
Test Data/Dataset82/35/2_181.jpg,35
Test Data/Dataset82/35/2_180.jpg,35
Test Data/Dataset82/35/2_209.jpg,35
Test Data/Dataset82/35/2_59.jpg,35
Test Data/Dataset82/35/2_219.jpg,35
Test Data/Dataset82/35/2_147.jpg,35
Test Data/Dataset82/35/2_146.jpg,35
Test Data/Dataset82/35/2_66.jpg,35
Test Data/Dataset82/35/2_186.jpg,35
Test Data/Dataset82/35/2_28.jpg,35
Test Data/Dataset82/35/2_2.jpg,35
Test Data/Dataset82/35/2_15.jpg,35
Test Data/Dataset82/35/2_1.jpg,35
Test Data/Dataset82/35/2_16.jpg,35
Test Data/Dataset82/35/2_252.jpg,35
Test Data/Dataset82/35/2_125.jpg,35
Test Data/Dataset82/35/2_11.jpg,35
Test Data/Dataset82/35/2_133.jpg,35
Test Data/Dataset82/35/2_126.jpg,35
Test Data/Dataset82/35/1_146.jpg,47
Test Data/Dataset82/36/176.jpg,36
Test Data/Dataset82/36/76.jpg,36
Test Data/Dataset82/36/158.jpg,36
Test Data/Dataset82/36/428.jpg,36
Test Data/Dataset82/36/159.jpg,36
Test Data/Dataset82/36/172.jpg,36
Test Data/Dataset82/36/199.jpg,36
Test Data/Dataset82/36/101.jpg,36
Test Data/Dataset82/36/300.jpg,36
Test Data/Dataset82/36/315.jpg,36
Test Data/Dataset82/36/12.jpg,36
Test Data/Dataset82/36/113.jpg,36
Test Data/Dataset82/36/270.jpg,36
Test Data/Dataset82/36/298.jpg,36
Test Data/Dataset82/36/111.jpg,36
Test Data/Dataset82/36/134.jpg,36
